content-provide,content-pull,publish-content,publish-service,service-provide,service-pull,unpin,upload-content,upload-service,wait-peers-content,wait-peers-service
20.37,1.13,62.74,8.98,19.27,0.75,0.03,0.03,0.02,0.01,0.01
25.26,1.06,65.53,7.70,11.29,0.76,0.01,0.03,0.02,0.00,0.01
25.34,1.09,75.85,22.90,11.53,0.76,0.01,0.03,0.02,0.01,0.01
42.09,1.08,63.12,22.41,25.71,0.77,0.01,0.05,0.02,0.01,0.01
18.63,1.06,61.89,22.57,11.35,0.78,0.01,0.05,0.02,0.01,0.01
14.88,1.05,61.48,23.08,10.44,0.73,0.01,0.05,0.02,0.01,0.01
18.96,1.07,61.59,13.68,12.61,0.76,0.01,0.02,0.01,0.01,0.01
15.18,1.09,78.75,8.32,19.72,0.74,0.01,0.05,0.05,0.01,0.01
10.79,1.04,61.85,22.71,21.03,0.75,0.01,0.05,0.05,0.01,0.01
22.52,1.09,62.04,17.08,9.55,0.73,0.01,0.04,0.02,0.01,0.01
19.46,1.06,67.99,7.95,11.34,0.74,0.01,0.02,0.02,0.01,0.01
23.53,1.08,61.66,22.28,6.49,0.78,0.01,0.07,0.02,0.01,0.01
17.99,1.08,74.60,8.86,9.00,0.76,0.01,0.05,0.02,0.01,0.01
12.72,1.07,61.48,23.07,10.97,0.75,0.01,0.05,0.04,0.01,0.01
19.91,1.34,73.81,8.66,21.04,0.77,0.01,0.02,0.01,0.01,0.01
16.63,1.09,62.16,7.52,9.19,0.75,0.01,0.05,0.03,0.01,0.01
28.32,1.10,64.17,7.98,19.27,0.75,0.01,0.07,0.02,0.01,0.00
20.42,1.11,61.89,12.23,10.66,0.73,0.01,0.03,0.06,0.01,0.01
29.60,1.08,74.00,16.83,11.33,0.78,0.01,0.03,0.02,0.01,0.01
34.27,1.07,65.21,22.51,10.85,0.74,0.01,0.04,0.03,0.01,0.01
