content-provide,content-pull,publish-content,publish-service,service-provide,service-pull,unpin,upload-content,upload-service,wait-peers-content,wait-peers-service
392.19,1.12,23.79,9.10,10.80,0.77,0.02,0.12,0.02,0.01,0.01
365.85,1.09,23.65,8.22,10.39,0.78,0.01,0.12,0.02,0.01,0.01
366.18,1.10,22.89,8.50,11.21,0.74,0.01,0.12,0.02,0.01,0.00
372.52,1.11,22.60,23.02,11.91,0.75,0.01,0.20,0.03,0.01,0.01
392.74,1.08,22.49,7.81,11.51,0.73,0.01,0.09,0.06,0.01,0.01
344.86,1.12,22.62,22.13,9.78,0.82,0.01,0.08,0.02,0.01,0.00
385.03,1.07,22.38,8.15,11.37,0.78,0.01,0.11,0.05,0.01,0.01
361.95,1.08,22.42,8.37,20.78,0.73,0.01,0.12,0.04,0.01,0.01
398.21,1.11,22.17,22.67,11.33,0.79,0.01,0.08,0.03,0.01,0.01
334.11,1.08,22.85,8.84,10.84,0.76,0.01,0.08,0.04,0.01,0.01
345.05,1.07,22.91,10.83,10.53,0.76,0.01,0.13,0.01,0.01,0.01
412.30,1.10,22.38,8.52,10.94,0.75,0.01,0.14,0.03,0.01,0.00
374.77,1.11,22.81,8.00,9.81,0.75,0.01,0.07,0.04,0.01,0.01
372.77,1.06,22.09,8.85,11.30,0.74,0.01,0.07,0.05,0.01,0.01
387.87,1.13,22.51,19.57,20.32,0.77,0.01,0.13,0.02,0.01,0.01
342.66,1.09,22.81,9.84,11.45,0.77,0.01,0.12,0.02,0.01,0.01
306.15,1.08,21.94,21.07,12.05,0.81,0.01,0.09,0.03,0.01,0.01
336.76,1.09,22.29,13.08,19.98,0.79,0.01,0.12,0.02,0.01,0.01
335.67,1.04,22.95,7.43,11.18,0.79,0.01,0.08,0.02,0.01,0.01
362.88,1.11,22.54,9.47,10.94,0.77,0.01,0.11,0.02,0.01,0.00
