content-provide,content-pull,publish-content,publish-service,service-provide,service-pull,unpin,upload-content,upload-service,wait-peers-content,wait-peers-service
351.90,1.15,30.57,8.68,20.88,0.72,0.01,0.12,0.03,0.01,0.01
354.57,1.13,30.28,8.59,13.78,0.75,0.01,0.10,0.02,0.01,0.01
330.13,1.10,8.13,18.23,20.31,0.72,0.01,0.12,0.02,0.01,0.01
327.86,1.08,7.46,7.85,11.25,0.74,0.01,0.11,0.02,0.01,0.01
356.56,1.07,8.25,8.29,11.33,0.76,0.01,0.08,0.07,0.00,0.01
361.15,1.05,7.42,7.75,11.17,0.78,0.01,0.13,0.03,0.01,0.01
408.23,1.13,9.15,21.58,10.85,0.76,0.01,0.14,0.02,0.01,0.01
372.69,1.08,8.67,7.44,16.35,0.77,0.01,0.11,0.02,0.01,0.01
389.95,1.05,16.79,16.77,10.99,0.87,0.01,0.14,0.03,0.01,0.01
334.22,1.08,7.10,7.71,11.28,0.74,0.01,0.10,0.02,0.01,0.01
390.08,1.06,9.01,7.34,12.96,0.76,0.00,0.07,0.02,0.01,0.01
381.74,1.06,8.46,7.94,10.84,0.74,0.00,0.07,0.06,0.01,0.01
359.60,1.11,17.33,8.02,11.17,0.72,0.01,0.11,0.03,0.01,0.01
391.54,1.05,17.01,8.17,11.59,0.75,0.01,0.15,0.03,0.01,0.00
381.76,1.07,22.43,22.70,11.14,0.76,0.01,0.10,0.06,0.01,0.01
389.59,1.05,7.95,22.25,16.20,0.77,0.01,0.08,0.02,0.01,0.01
377.10,1.06,8.92,22.55,11.47,0.77,0.01,0.12,0.03,0.01,0.01
378.46,1.13,15.85,22.94,11.28,0.76,0.01,0.11,0.03,0.01,0.01
419.87,1.08,9.92,23.31,11.06,0.72,0.01,0.13,0.02,0.01,0.01
392.40,1.10,7.81,8.02,11.38,0.79,0.01,0.07,0.04,0.01,0.01
